[0] #InstanceTicker (Type-0) Ver.201912081130.tsv - Fedplaset is (c)weepjp  MIT License.	ScreenName	ServerName	FontColor	BGColor	ImgPath	ImgWidth	ImgLicense	WikiURL	ID	ImgLicenseURL	AdminsVoiceURL	no12	no13
1	social.kimamass.com	social.kimamass.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		168				
1	kirishima.cloud	kirishima.cloud	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Kirishima.cloud	169				
1	mastodon.kitsune.land	mastodon.kitsune.land	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		833				
1	kiritan.work	kiritan.work	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Kiritan.work	170				
1	saku.kot.jp	saku.kot.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		820				
1	mastodon.kxn4t.tech	mastodon.kxn4t.tech	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		171				
1	mn.kitetu.com	mn.kitetu.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		172				
1	mstdn.klamath.jp	mstdn.klamath.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		173				
1	h.kokuda.org	h.kokuda.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		175				
1	クラゲ丼	kurage.cc	#008	#cff	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/Kurage.cc	176				
1	mstdn.kuriuzu.tk	mstdn.kuriuzu.tk	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		177				
1	mstdn.kurosuke.org	mstdn.kurosuke.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		178				
1	mstdn.lalafell.org	mstdn.lalafell.org	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		179				
1	nya.lemonade.moe	nya.lemonade.moe	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		278				
1	LIBERA S2	s2.libera.blue	#fff	#004ea2	https://wee.jp/i/1.png	18	代替icon		180		https://archive.fo/E7683		
1	mastodon.lithium03.info	mastodon.lithium03.info	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		181				
1	linuxrocks.online 	linuxrocks.online 	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		182				
1	lumpen.work	lumpen.work	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		797				
1	mstdn.lyker.jp	mstdn.lyker.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		867				
1	deepsea.m.to	deepsea.m.to	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		844				
1	tebukuro.m.to	tebukuro.m.to	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		185				
1	tokotodon.m.to	tokotodon.m.to	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		186				
1	unkomaker.m.to	unkomaker.m.to	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		851				
1	don.m2hq.net	don.m2hq.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		188				
1	machida.yokohama	machida.yokohama	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		189				
1	maho.app	maho.app	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		190				
1	don.mamemo.online	don.mamemo.online	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		192				
1	moriyakidon.mamemo.online	moriyakidon.mamemo.online	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		193				
1	raspidon.mamemo.online	raspidon.mamemo.online	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		194				
1	mandodon.com	mandodon.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		866				
1	manhole.club	manhole.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		195				
1	Tekkadon (三浦半島)	tekkadon.manimani.cc	#fff	#383	https://wee.jp/i/1.png	18	代替icon		196				
1	maoh.company	maoh.company	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		815				
1	mast.moe	mast.moe	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		197				
1	mastadon.jp	mastadon.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		198				
1	www.mstddntfdn.online	www.mstddntfdn.online	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		822				
1	k-shiigi-136.masto.host	k-shiigi-136.masto.host	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		199				
1	achi.masto.host	achi.masto.host	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		200				
1	okadon.masto.host	okadon.masto.host	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		201				
1	porkmeeting.masto.host	porkmeeting.masto.host	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		202				
